link,form,table
"<a class=""button secondary"" onclick=""Auth.do_fb_login();"" style=""cursor:pointer""><i class=""icon-facebook""></i> <div class=""loginWithFacebookText"">फेसबुकबाट लगइन</div> </a>","<form class=""formPanel"" id=""frm-alert-signin""><div class=""mainTitle""><img alt="""" src=""https://jcss-cdn.ekantipur.com/kantipurdaily/images/publication.png""/><span class=""kantipurNetworkText"">कान्तिपुर नेटवर्क</span><span class=""loginText"">लगइन</span></div><span class=""save-news-alert-message"" style=""display:none;"">समाचार संग्रह गर्नको लागि लग इन गर्नुहोस् ।</span><div class=""submit-quiz-alert-message"" style=""display:none;""><div class=""image""><span>तपाईंको अंक <span>?</span></span><span>नेपालको मनोरम हिमश्रृंखला अवलोकनको भाग्यशाली अवसर</span></div><p>नतिजा हेर्नको लागि लगइन गर्नुहोस् ।</p></div><a class=""button secondary"" onclick=""Auth.do_fb_login();"" style=""cursor:pointer""><i class=""icon-facebook""></i> <div class=""loginWithFacebookText"">फेसबुकबाट लगइन</div> </a><input id=""login-trigger"" type=""hidden""/><div class=""type-seprator""><span class=""orText"">अथवा</span></div><div><input class=""textfield loginFormEmail txtEmail"" id=""txtEmaill"" name=""txtEmail"" onkeypress=""submitLogin(event,'frm-alert-signin');"" placeholder=""ई-मेल"" required="""" type=""email""/></div><div><input class=""textfield loginFormPassword txtPassword"" id=""txtPasswordd"" name=""txtPassword"" onkeypress=""submitLogin(event,'frm-alert-signin');"" placeholder=""पासवर्ड"" required="""" type=""password""/></div><div class=""forget-password-link"" onclick=""OpenPasswordRecovery();"">पासवर्ड बिर्सनुभयो ?</div><div class=""submit"" id=""login-btn"" onclick=""Auth.do_login('frm-alert-signin');"">लगइन </div><div class=""signUp doSignupText"">तपाईंको खाता छैन ?  <a onclick=""openAccessAlert('pnl-alert-signup')"">साइन अप</a> गर्नुहोस् । </div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""success""></div><div class=""error""></div></form>",
"<a class=""button secondary"" onclick=""Auth.do_fb_login();"" style=""cursor:pointer""><i class=""icon-facebook""></i> <div class=""loginWithFacebookText"">फेसबुकबाट लगइन</div> </a>","<form class=""formPanel"" id=""frm-alert-signin""><div class=""mainTitle""><img alt="""" src=""https://jcss-cdn.ekantipur.com/kantipurdaily/images/publication.png""/><span class=""kantipurNetworkText"">कान्तिपुर नेटवर्क</span><span class=""loginText"">लगइन</span></div><span class=""save-news-alert-message"" style=""display:none;"">समाचार संग्रह गर्नको लागि लग इन गर्नुहोस् ।</span><div class=""submit-quiz-alert-message"" style=""display:none;""><div class=""image""><span>तपाईंको अंक <span>?</span></span><span>नेपालको मनोरम हिमश्रृंखला अवलोकनको भाग्यशाली अवसर</span></div><p>नतिजा हेर्नको लागि लगइन गर्नुहोस् ।</p></div><a class=""button secondary"" onclick=""Auth.do_fb_login();"" style=""cursor:pointer""><i class=""icon-facebook""></i> <div class=""loginWithFacebookText"">फेसबुकबाट लगइन</div> </a><input id=""login-trigger"" type=""hidden""/><div class=""type-seprator""><span class=""orText"">अथवा</span></div><div><input class=""textfield loginFormEmail txtEmail"" id=""txtEmaill"" name=""txtEmail"" onkeypress=""submitLogin(event,'frm-alert-signin');"" placeholder=""ई-मेल"" required="""" type=""email""/></div><div><input class=""textfield loginFormPassword txtPassword"" id=""txtPasswordd"" name=""txtPassword"" onkeypress=""submitLogin(event,'frm-alert-signin');"" placeholder=""पासवर्ड"" required="""" type=""password""/></div><div class=""forget-password-link"" onclick=""OpenPasswordRecovery();"">पासवर्ड बिर्सनुभयो ?</div><div class=""submit"" id=""login-btn"" onclick=""Auth.do_login('frm-alert-signin');"">लगइन </div><div class=""signUp doSignupText"">तपाईंको खाता छैन ?  <a onclick=""openAccessAlert('pnl-alert-signup')"">साइन अप</a> गर्नुहोस् । </div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""success""></div><div class=""error""></div></form>",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<a onclick=""openAccessAlert('pnl-alert-signup')"">साइन अप</a>",,
,,
,,
,,
,,
,"<form class=""formPanel"" id=""frm-alert-changepwd""><div class=""mainTitle""><img alt="""" src=""https://jcss-cdn.ekantipur.com/kantipurdaily/images/publication.png""/><span class=""kantipurNetworkText"">कान्तिपुर नेटवर्क</span></div><div><input class=""textfield txtCurrentPassword"" id=""txtCurrentPassword"" name=""txtCurrentPassword"" placeholder=""पुरानो पासवर्ड"" type=""password""/></div><div><input class=""textfield txtNewPassword"" id=""txtNewPassword"" minlength=""5"" name=""txtNewPassword"" placeholder=""नयाँ पासवर्ड"" type=""password""/></div><div><input class=""textfield txtNewConfirmPassword"" id=""txtNewConfirmPassword"" minlength=""5"" name=""txtNewConfirmPassword"" placeholder=""पुन: पासवर्ड"" type=""password""/></div><div class=""submit"" onclick=""Auth.do_change_password();"">पासवर्ड परिवर्तन </div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""success""></div><div class=""error""></div></form>",
,"<form class=""formPanel"" id=""frm-alert-changepwd""><div class=""mainTitle""><img alt="""" src=""https://jcss-cdn.ekantipur.com/kantipurdaily/images/publication.png""/><span class=""kantipurNetworkText"">कान्तिपुर नेटवर्क</span></div><div><input class=""textfield txtCurrentPassword"" id=""txtCurrentPassword"" name=""txtCurrentPassword"" placeholder=""पुरानो पासवर्ड"" type=""password""/></div><div><input class=""textfield txtNewPassword"" id=""txtNewPassword"" minlength=""5"" name=""txtNewPassword"" placeholder=""नयाँ पासवर्ड"" type=""password""/></div><div><input class=""textfield txtNewConfirmPassword"" id=""txtNewConfirmPassword"" minlength=""5"" name=""txtNewConfirmPassword"" placeholder=""पुन: पासवर्ड"" type=""password""/></div><div class=""submit"" onclick=""Auth.do_change_password();"">पासवर्ड परिवर्तन </div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""success""></div><div class=""error""></div></form>",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,"<form class=""formPanel"" id=""frm-password-recovery""><div class=""mainTitle""><img alt="""" src=""https://jcss-cdn.ekantipur.com/kantipurdaily/images/publication.png""/><span class=""kantipurNetworkText"">कान्तिपुर नेटवर्क</span></div><div><input class=""textfield txtEmail loginFormEmail"" id=""txtEmai"" name=""txtEmail"" onkeypress=""submitRecoverPassword(event,this);"" placeholder=""ई-मेल"" type=""text""/></div><div class=""submit"" onclick=""Auth.do_forget_password();"">पासवर्ड रिसेट</div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""success""></div><div class=""error""></div></form>",
,"<form class=""formPanel"" id=""frm-password-recovery""><div class=""mainTitle""><img alt="""" src=""https://jcss-cdn.ekantipur.com/kantipurdaily/images/publication.png""/><span class=""kantipurNetworkText"">कान्तिपुर नेटवर्क</span></div><div><input class=""textfield txtEmail loginFormEmail"" id=""txtEmai"" name=""txtEmail"" onkeypress=""submitRecoverPassword(event,this);"" placeholder=""ई-मेल"" type=""text""/></div><div class=""submit"" onclick=""Auth.do_forget_password();"">पासवर्ड रिसेट</div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""success""></div><div class=""error""></div></form>",
,,
,,
,,
,,
,,
,,
,,
,,
,"<form class=""formPanel"" id=""frm-alert-advice""><div><input class=""textfield fullnamePlaceholder"" id=""txtFullName"" placeholder=""पूरा नाम *"" required="""" type=""text""/></div><div><input class=""txtEmail textfield loginFormEmail"" id=""543txtEmail"" placeholder=""ई-मेल *"" required="""" type=""email""/></div><div><textarea class=""txtMessage textarea yourMessagePlaceholder"" id=""txer3tMessage"" placeholder=""तपाइको सन्देश *"" required=""""></textarea></div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""feedbackSuccessMessage success""></div><div class=""feedbackErrorMessage error""></div><div class=""submit"" data-action=""feedback"" onclick=""sendAdviceAndContactUs(this);"">पठाउनुहोस</div></form>",
,"<form class=""formPanel"" id=""frm-alert-advice""><div><input class=""textfield fullnamePlaceholder"" id=""txtFullName"" placeholder=""पूरा नाम *"" required="""" type=""text""/></div><div><input class=""txtEmail textfield loginFormEmail"" id=""543txtEmail"" placeholder=""ई-मेल *"" required="""" type=""email""/></div><div><textarea class=""txtMessage textarea yourMessagePlaceholder"" id=""txer3tMessage"" placeholder=""तपाइको सन्देश *"" required=""""></textarea></div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""feedbackSuccessMessage success""></div><div class=""feedbackErrorMessage error""></div><div class=""submit"" data-action=""feedback"" onclick=""sendAdviceAndContactUs(this);"">पठाउनुहोस</div></form>",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,"<form class=""formPanel"" id=""frm-alert-contact""><div><input class=""txtFullName textfield fullnamePlaceholder"" id=""12txtFullName"" name=""txtFullName"" placeholder=""पूरा नाम *"" required="""" type=""text""/></div><div><input class=""txtEmail textfield loginFormEmail"" id=""1111txtEmail"" name=""txtEmail"" placeholder=""ई-मेल *"" required="""" type=""email""/></div><div><textarea class=""textarea yourMessagePlaceholder"" id=""txtMessage"" placeholder=""तपाइको सन्देश *"" required=""""></textarea></div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""contactusSuccessMessage success""></div><div class=""contactusErrorMessage error""></div><div class=""submitText default-btn"" data-action=""contactus"" onclick=""sendAdviceAndContactUs(this);"">पठाउनुहोस</div></form>",
,"<form class=""formPanel"" id=""frm-alert-contact""><div><input class=""txtFullName textfield fullnamePlaceholder"" id=""12txtFullName"" name=""txtFullName"" placeholder=""पूरा नाम *"" required="""" type=""text""/></div><div><input class=""txtEmail textfield loginFormEmail"" id=""1111txtEmail"" name=""txtEmail"" placeholder=""ई-मेल *"" required="""" type=""email""/></div><div><textarea class=""textarea yourMessagePlaceholder"" id=""txtMessage"" placeholder=""तपाइको सन्देश *"" required=""""></textarea></div><div class=""loading""><i aria-hidden=""true"" class=""icon-repeat margin-bottom""></i></div><div class=""contactusSuccessMessage success""></div><div class=""contactusErrorMessage error""></div><div class=""submitText default-btn"" data-action=""contactus"" onclick=""sendAdviceAndContactUs(this);"">पठाउनुहोस</div></form>",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<a href=""https://ekantipur.com/today"" target=""_blank""><div class=""todays-date notranslate"" translate=""no""><time>१३ माघ २०८२ मंगलबार <span>Tuesday, January 27, 2026</span></time></div></a>",,
,,
"<a href=""https://ekantipur.com/""><img alt=""Kantipur Daily"" src=""https://jcss-cdn.ekantipur.com/kantipurdaily/images/logo.png""/></a>",,
,,
,,
,,
"<a href=""/""><div class=""alternate-nav-logo"" id=""alternate-logo""><img alt=""Kantipur Daily"" src=""/logo.png""/></div></a>",,
"<a href=""/""><div class=""alternate-nav-logo"" id=""alternate-logo""><img alt=""Kantipur Daily"" src=""/logo.png""/></div></a>",,
"<a href=""/""><div class=""alternate-nav-logo"" id=""alternate-logo""><img alt=""Kantipur Daily"" src=""/logo.png""/></div></a>",,
,,
"<a href=""/""><div class=""alternate-nav-logo"" id=""alternate-logo""><img alt=""Kantipur Daily"" src=""/logo.png""/></div></a>",,
,,
,,
"<a href=""https://ekantipur.com/politics"">राजनीति</a>",,
,,
"<a href=""https://ekantipur.com/politics"">राजनीति</a>",,
"<a class=""epaper-link"" href=""https://epaper.ekantipur.com/"" target=""_blank""><svg class=""ek-icon""><use xlink:href=""#ek-icon-book""></use></svg>आजको पत्रिका</a>",,
,,
"<a href=""https://ekantipur.com/tag/id-2305"" onclick=""gaEvent('Kantipur Trending Tags','Clicked','प्रतिनिधिसभा निर्वाचन २०८२');"">प्रतिनिधिसभा निर्वाचन २०८२</a>",,
"<a href=""https://ekantipur.com/tag/id-2305"" onclick=""gaEvent('Kantipur Trending Tags','Clicked','प्रतिनिधिसभा निर्वाचन २०८२');"">प्रतिनिधिसभा निर्वाचन २०८२</a>",,
"<a href=""https://ekantipur.com/tag/id-2305"" onclick=""gaEvent('Kantipur Trending Tags','Clicked','प्रतिनिधिसभा निर्वाचन २०८२');"">प्रतिनिधिसभा निर्वाचन २०८२</a>",,
"<a class=""closeBtn"" href=""javascript:void(0)"" onclick=""showSetting()""><svg class=""bi bi-x"" fill=""currentColor"" viewbox=""0 0 16 16"" xmlns=""http://www.w3.org/2000/svg""><path d=""M4.646 4.646a.5.5 0 0 1 .708 0L8 7.293l2.646-2.647a.5.5 0 0 1 .708.708L8.707 8l2.647 2.646a.5.5 0 0 1-.708.708L8 8.707l-2.646 2.647a.5.5 0 0 1-.708-.708L7.293 8 4.646 5.354a.5.5 0 0 1 0-.708z""></path></svg></a>","<form id=""health""></form>",
,,
"<a class=""closeBtn"" href=""javascript:void(0)"" onclick=""showSetting()""><svg class=""bi bi-x"" fill=""currentColor"" viewbox=""0 0 16 16"" xmlns=""http://www.w3.org/2000/svg""><path d=""M4.646 4.646a.5.5 0 0 1 .708 0L8 7.293l2.646-2.647a.5.5 0 0 1 .708.708L8.707 8l2.647 2.646a.5.5 0 0 1-.708.708L8 8.707l-2.646 2.647a.5.5 0 0 1-.708-.708L7.293 8 4.646 5.354a.5.5 0 0 1 0-.708z""></path></svg></a>",,
"<a class=""closeBtn"" href=""javascript:void(0)"" onclick=""showSetting()""><svg class=""bi bi-x"" fill=""currentColor"" viewbox=""0 0 16 16"" xmlns=""http://www.w3.org/2000/svg""><path d=""M4.646 4.646a.5.5 0 0 1 .708 0L8 7.293l2.646-2.647a.5.5 0 0 1 .708.708L8.707 8l2.647 2.646a.5.5 0 0 1-.708.708L8 8.707l-2.646 2.647a.5.5 0 0 1-.708-.708L7.293 8 4.646 5.354a.5.5 0 0 1 0-.708z""></path></svg></a>",,
"<a class=""closeBtn"" href=""javascript:void(0)"" onclick=""showSetting()""><svg class=""bi bi-x"" fill=""currentColor"" viewbox=""0 0 16 16"" xmlns=""http://www.w3.org/2000/svg""><path d=""M4.646 4.646a.5.5 0 0 1 .708 0L8 7.293l2.646-2.647a.5.5 0 0 1 .708.708L8.707 8l2.647 2.646a.5.5 0 0 1-.708.708L8 8.707l-2.646 2.647a.5.5 0 0 1-.708-.708L7.293 8 4.646 5.354a.5.5 0 0 1 0-.708z""></path></svg></a>",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<a class=""btn btn-primary"" href=""#"" id=""pnl-alert-news-link"">लेख पढ्नुहोस्</a>",,
"<a class=""btn btn-primary"" href=""#"" id=""pnl-alert-news-link"">लेख पढ्नुहोस्</a>",,
,,
,,
"<a class=""static-sponsor"" href=""http://www.bergernepal.com/"" onclick=""gaEvent('Berger paint new','home','clicked');"" target=""_blank""><img src=""https://assets-cdn.ekantipur.com/uploads/source/ads/kantipur970x120-01-16122025062459.gif""/></a>","<form id=""health""></form>",
"<a class=""static-sponsor"" href=""http://www.bergernepal.com/"" onclick=""gaEvent('Berger paint new','home','clicked');"" target=""_blank""><img src=""https://assets-cdn.ekantipur.com/uploads/source/ads/kantipur970x120-01-16122025062459.gif""/></a>","<form id=""health""></form>",
"<a data-type=""title"" href=""https://ekantipur.com/politics/2026/01/27/independents-compete-with-party-candidates-21-52.html"" onclick=""gaEvent('Kantipur Top News','Clicked','काभ्रेमा दलका उम्मेदवारलाई स्वतन्त्रको टक्कर')"">काभ्रेमा दलका उम्मेदवारलाई स्वतन्त्रको टक्कर</a>",,
"<a attr-newsid=""9871995"" class=""saveNewsLink"" data-type=""save-news"" onclick=""saveNews('9871995',this);"" style=""cursor:pointer;""><i class=""icon-save""></i> संग्रह</a>",,
"<a href=""https://ekantipur.com/politics/2026/01/27/32-seats-in-madhesh-dominance-of-old-parties-or-rise-of-new-ones-57-42.html""><img alt="""" src=""//assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/madhesh-neta-2712026090924-240x158.jpg""/></a>",,
"<a attr-newsid=""9871625"" class=""saveNewsLink"" data-type=""save-news"" onclick=""saveNews('9871625',this);"" style=""cursor:pointer;""><i class=""icon-save""></i> संग्रह</a>",,
"<a href=""https://ekantipur.com/news/2026/01/27/work-permits-for-domestic-workers-going-to-iraq-suspended-39-17.html""><img alt="""" src=""//assets-cdn.ekantipur.com/uploads/source/news/kantipur/2025/third-party/labor-ministry-0712025091132-240x158.jpg""/></a>",,
"<a attr-newsid=""9871835"" class=""saveNewsLink"" data-type=""save-news"" onclick=""saveNews('9871835',this);"" style=""cursor:pointer;""><i class=""icon-save""></i> संग्रह</a>",,
"<a href=""https://ekantipur.com/news/2026/01/27/corruption-case-of-rs-70-million-filed-against-then-engineer-acharya-of-bharatpur-metropolitan-09-01.html""><img alt="""" src=""//assets-cdn.ekantipur.com/uploads/source/news/kantipur/2025/third-party/ciaaa-14122021044527-3152024033833-1552025082918-240x158.jpg""/></a>",,
"<a attr-newsid=""9871755"" class=""saveNewsLink"" data-type=""save-news"" onclick=""saveNews('9871755',this);"" style=""cursor:pointer;""><i class=""icon-save""></i> संग्रह</a>",,
"<a class="""" onclick=""MainLayout.addNewsBox(this);"" title=""Add Article""><i class=""icon-plus font-blue""></i></a>",,
"<a data-type=""title"" href=""https://ekantipur.com/politics/2026/01/27/female-candidate-challenges-party-chief-15-55.html"" onclick=""gaEvent('Kantipur Top News','Clicked','पार्टी प्रमुखहरूलाई देशैभरि महिला उम्मेदवारको कडा चुनौती')"">पार्टी प्रमुखहरूलाई देशैभरि महिला उम्मेदवारको कडा चुनौती</a>",,
"<a data-type=""title"" href=""https://ekantipur.com/politics/2026/01/27/female-candidate-challenges-party-chief-15-55.html"" onclick=""gaEvent('Kantipur Top News','Clicked','पार्टी प्रमुखहरूलाई देशैभरि महिला उम्मेदवारको कडा चुनौती')"">पार्टी प्रमुखहरूलाई देशैभरि महिला उम्मेदवारको कडा चुनौती</a>",,
"<a href=""https://ekantipur.com/politics/2026/01/27/female-candidate-challenges-party-chief-15-55.html""><img alt="""" src=""//assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/politics/untitled-design-37-2712026022836-600x0.jpg""/></a>",,
"<a attr-newsid=""9872135"" class=""saveNewsLink"" data-type=""save-news"" onclick=""saveNews('9872135',this);"" style=""cursor:pointer;""><i class=""icon-save""></i> संग्रह</a>",,
"<a data-type=""title"" href=""https://ekantipur.com/politics/2026/01/27/bamdev-claims-this-time-the-ncp-will-bring-a-majority-11-40.html"" onclick=""gaEvent('Kantipur Top News','Clicked','वामदेवको दाबी : यस पटक नेकपाले बहुमत ल्याउँछ')"">वामदेवको दाबी : यस पटक नेकपाले बहुमत ल्याउँछ</a>",,
"<a href=""https://ekantipur.com/politics/2026/01/27/bamdev-claims-this-time-the-ncp-will-bring-a-majority-11-40.html""><img alt="""" src=""//assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/bamdev-2712026012629-300x0.jpg""/></a>",,
"<a attr-newsid=""9871965"" class=""saveNewsLink"" data-type=""save-news"" onclick=""saveNews('9871965',this);"" style=""cursor:pointer;""><i class=""icon-save""></i> संग्रह</a>",,
"<a href=""https://ekantipur.com/business/2026/01/27/construction-of-61-bridges-completed-on-butwal-narayangadh-road-28-29.html""><img alt="""" src=""//assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/miscellaneous/20260111152323-2712026114025-300x0.jpg""/></a>",,
"<a attr-newsid=""9871805"" class=""saveNewsLink"" data-type=""save-news"" onclick=""saveNews('9871805',this);"" style=""cursor:pointer;""><i class=""icon-save""></i> संग्रह</a>",,
"<a href=""https://ekantipur.com/news/2026/01/27/supreme-court-sends-writ-petition-on-agreement-between-government-and-gen-g-for-full-hearing-04-44.html""><img alt="""" src=""//assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/supreme-court-0212026020731-300x0.jpg""/></a>",,
"<a attr-newsid=""9871875"" class=""saveNewsLink"" data-type=""save-news"" onclick=""saveNews('9871875',this);"" style=""cursor:pointer;""><i class=""icon-save""></i> संग्रह</a>",,
"<a class="""" onclick=""MainLayout.addNewsBox(this);"" title=""Add Article""><i class=""icon-plus font-blue""></i></a>",,
,,
"<a href=""https://ekantipur.com/autolife""><div class=""catName"">Auto Life</div></a>",,
,,
"<a href=""https://ekantipur.com/Other"">अन्य</a>",,
"<a href=""https://ekantipur.com/Other"">अन्य</a>",,
"<a href=""https://ekantipur.com/Other"">अन्य</a>",,
"<a href=""https://ekantipur.com/Other"">अन्य</a>",,
"<a href=""https://ekantipur.com/Other"">अन्य</a>",,
"<a href=""https://ekantipur.com/author/author-14301"">कान्तिपुर संवाददाता</a>",,
"<a href=""https://ekantipur.com/Other/2026/01/22/ride-sharing-company-indrive-provides-safety-training-to-drivers-50-05.html""><figure><img alt=""Ride-sharing company Indrive provides safety training to drivers"" src=""https://assets-cdn-api.ekantipur.com/thumb.php?src=https://assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/61750982614235780960433096445087523623638289n-2212026090434-1000x0.jpg&amp;w=701&amp;h=400""/></figure></a>",,
"<a href=""https://ekantipur.com/Other/2026/01/22/ride-sharing-company-indrive-provides-safety-training-to-drivers-50-05.html""><figure><img alt=""Ride-sharing company Indrive provides safety training to drivers"" src=""https://assets-cdn-api.ekantipur.com/thumb.php?src=https://assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/61750982614235780960433096445087523623638289n-2212026090434-1000x0.jpg&amp;w=701&amp;h=400""/></figure></a>",,
"<a href=""https://ekantipur.com/market/2026/01/16/new-deepal-e-07-transformer-x-in-the-market-51-30.html""><figure><img alt=""New Deepal E 07 Transformer X in the market"" loading=""lazy"" src=""https://assets-cdn-api.ekantipur.com/thumb.php?src=https://assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/deepal-1612026070556-1000x0.jpg&amp;w=401&amp;h=300""/></figure></a>",,
"<a href=""https://ekantipur.com/market/2026/01/16/new-deepal-e-07-transformer-x-in-the-market-51-30.html""><figure><img alt=""New Deepal E 07 Transformer X in the market"" loading=""lazy"" src=""https://assets-cdn-api.ekantipur.com/thumb.php?src=https://assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/deepal-1612026070556-1000x0.jpg&amp;w=401&amp;h=300""/></figure></a>",,
"<a href=""https://ekantipur.com/market/2026/01/16/new-deepal-e-07-transformer-x-in-the-market-51-30.html""><figure><img alt=""New Deepal E 07 Transformer X in the market"" loading=""lazy"" src=""https://assets-cdn-api.ekantipur.com/thumb.php?src=https://assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/deepal-1612026070556-1000x0.jpg&amp;w=401&amp;h=300""/></figure></a>",,
"<a href=""https://ekantipur.com/market/2026/01/16/new-deepal-e-07-transformer-x-in-the-market-51-30.html""><figure><img alt=""New Deepal E 07 Transformer X in the market"" loading=""lazy"" src=""https://assets-cdn-api.ekantipur.com/thumb.php?src=https://assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/deepal-1612026070556-1000x0.jpg&amp;w=401&amp;h=300""/></figure></a>",,
"<a href=""https://ekantipur.com/market/2026/01/16/new-deepal-e-07-transformer-x-in-the-market-51-30.html""><figure><img alt=""New Deepal E 07 Transformer X in the market"" loading=""lazy"" src=""https://assets-cdn-api.ekantipur.com/thumb.php?src=https://assets-cdn.ekantipur.com/uploads/source/news/kantipur/2026/third-party/deepal-1612026070556-1000x0.jpg&amp;w=401&amp;h=300""/></figure></a>",,
"<a href=""https://ekantipur.com/market/2026/01/16/new-deepal-e-07-transformer-x-in-the-market-51-30.html"">न्यू दिपल ई ०७ ट्रान्सफर्मर एक्स बजारमा</a>",,
"<a href=""https://ekantipur.com/author/author-14301"">कान्तिपुर संवाददाता</a>",,
